station_name,station_code,lat,lon,name,code_str,nameEng
АРЬЯ,26670,57.49328232,45.96229172,Арья,266705,Ar'ya
АСБЕСТ,79380,57.00511169,61.51258469,Асбест,793800,Asbest
АСЕЕВСКАЯ,63450,53.10838318,45.68960571,Асеевская,634500,Aseevskaya
АСИНО,87510,56.99649811,86.1576004,Асино,875108,Asino
АСКИЗ,88700,53.13391876,90.41248322,Аскиз,887001,Askiz
АСТРАХАНЬ 2,61690,46.40552521,48.07315826,Астрахань II,616907,Astraxan' II
АТАМАНОВКА,94250,51.92856979,113.6318893,Атамановка,942506,Atamanovka
АТКАРСК,60880,51.87757111,45.01044464,Аткарск,608807,Atkarsk
АТЯШЕВО,24730,54.58422089,46.08390427,Атяшево,247309,Atyashevo
АУР,96330,48.62509537,133.4307098,Аур,963309,Aur
АФИПСКАЯ,52400,44.89096069,38.8338089,Афипская,524000,Afipskaya
АХТАРИ,51630,46.03996658,38.17035675,Ахтари,516304,Axtari
АХТУБА,61620,48.27590561,46.19646835,Ахтуба,616201,Axtuba
АХТЫРСКАЯ,52360,44.87055588,38.33935928,Ахтырская,523609,Axty'rskaya
АЧИНСК 1,88000,56.30447,90.517401,Ачинск I,880002,Achinsk I
АША,65590,54.99598312,57.26684189,Аша,655901,Asha
АШУЛУК,61780,47.31969452,47.40312195,Ашулук,617806,Ashuluk
АЯТЬ,77140,57.0384903,60.22237015,Аять,771407,Ayat'
БАБАЕВО,04640,59.3858757,35.94868088,Бабаево,046409,Babaevo
БАБАРЫКИНО,59350,52.94877243,38.23939133,Бабарыкино,593508,Babary'kino
БАБЫНИНО,18460,54.38779068,35.73899841,Бабынино,184609,Baby'nino
БАГАЕВКА,62080,51.44886398,45.84470749,Багаевка,620809,Bagaevka
БАГУЛЬНАЯ,92450,56.12434387,101.4477081,Багульная,924501,Bagul'naya
БАДА,94070,51.38755798,109.86306,Бада,940701,Bada
БАЖЕНОВО,79350,56.73057556,61.37148285,Баженово,793503,Bazhenovo
БАЙКАЛЬСК,93380,51.5003624,104.2263413,Байкальск,933801,Bajkal'sk
